theater_id,longitude,latitude,city,state,zipcode
120,-122.71011,38.420128,Santa Rosa,CA,95407
11,-93.261429,45.126179,Blaine,MN,55434
121,-119.78667,36.849934,Fresno,CA,93720
1224,-105.08081,39.71035,Lakewood,CO,80226
1220,-122.04142,47.54935,Issaquah,WA,98027
122,-115.24034,36.196686,Las Vegas,NV,89108
124,-116.40418,33.726726,Palm Desert,CA,92260
123,-110.96164,32.287407,Tucson,AZ,85705
1198,-117.83397,33.82801,Orange,CA,92865
130,-118.56584,34.276062,Northridge,CA,91326
125,-118.07932,34.150719,Pasadena,CA,91107
1266,-81.71148,38.33651,Charleston,WV,25309
1267,-78.842452,40.276584,Johnstown,PA,15904
126,-117.73631,33.874023,Yorba Linda,CA,92885
127,-118.13409,33.852024,Lakewood,CA,90712
137,-118.32756,34.189072,Burbank,CA,91504
128,-119.78868,39.475178,Reno,NV,89502
129,-121.26063,38.773228,Roseville,CA,95678
131,-117.69006,34.091671,Montclair,CA,91763
1199,-77.277419,38.841902,Fairfax,VA,22031
133,-121.42125,38.59877,Sacramento,CA,95815
134,-121.88036,37.70369,Dublin,CA,94568
1388,-90.4611995,30.5043583,Hammond,LA,70403
138,-122.30667,37.990162,Pinole,CA,94564
12,-94.209656,45.55275,Saint Cloud,MN,56301
1380,-75.9973,42.09728,Vestal,NY,13850
1381,-87.623052,41.898798,Chicago,IL,60611
1382,-84.16388,35.90045,Farragut,TN,37934
1383,-82.61861,28.47326,Spring Hill,FL,34607
1385,-83.01149,35.46517,Waynesville,NC,28786-6875
1386,-117.01664,32.77816,La Mesa,CA,91942
1387,-98.07806,29.72633,New Braunfels,TX,78130
13,-96.842743,46.857113,Fargo,ND,58103
136,-122.05458,38.260357,Fairfield,CA,94533
1403,-75.2858,40.65766,Easton,PA,18045
1394,-74.15178,41.3194,Monroe,NY,10950
1395,-75.36817,40.46084,Quakertown,PA,18951
1396,-121.72698,38.67245,Woodland,CA,95776-5406
1397,-95.16158,29.99776,Humble,TX,77346
1399,-89.867362,35.103514,Memphis,TN,38119
1400,-77.691307,43.209003,Rochester,NY,14626
135,-122.0574,37.942162,Pleasant Hill,CA,94523
1402,-111.81945,40.383049,American Fork,UT,84003
1401,-95.815704,36.325153,Owasso,OK,74055
1391,-119.875481,34.425956,Goleta,CA,93117
1404,-95.756981,29.542709,Rosenberg,TX,77471
1405,-82.353157,28.240932,Wesley Chapel,FL,33544
1406,-83.203514,42.285866,Allen Park,MI,48101
1409,-117.17145,33.68198,Menifee,CA,92584
1407,-71.503601,42.1623,Milford,MA,01757
140,-122.24272,37.501781,San Carlos,CA,94070
1408,-84.129593,34.192852,Cumming,GA,30041
